STATE,2012,2013,2014,2015,2016
ABIA,108,67,77,76,27
ADAMAWA,189,1989,118,21,54
AKWA IBOM,161,211,12,102,36
ANAMBRA,102,51,95,82,25
BAUCHI,156,86,101,40,3
BAYELSA,138,152,141,70,75
BENUE,75,25,37,12,33
BORNO,39,52,13,44,0
CROSS RIVER,43,53,34,82,78
DELTA,103,77,97,120,0
EBONYI,49,108,107,77,47
EDO,87,123,99,97,60
EKITI,145,197,109,120,136
ENUGU,62,93,18,94,5
GOMBE,5,9,77,40,5
IMO,108,8,63,95,0
JIGAWA,120,113,128,240,186
KADUNA,15,33,143,248,165
KANO,492,221,278,246,442
KATSINA,461,440,569,245,700
KEBBI,131,149,134,240,29
KOGI,52,170,87,70,55
KWARA,0,137,73,56,41
LAGOS,173,328,10,120,12
NASSARAWA,25,19,13,139,15
NHQ,28,16,17,20,54
NIGER,69,242,0,110,119
OGUN,73,177,112,129,18
ONDO,40,52,8,130,0
OSUN,107,116,0,100,25
OYO,92,258,206,130,34
PLATEAU,284,189,10,158,11
RIVERS,110,109,39,68,101
SOKOTO,119,69,123,0,51
SEME,0,3,0,29,0
TARABA,33,39,46,45,9
YOBE,14,46,96,46,21
ZAMFARA,71,76,148,249,88
FCT,70,180,90,116,17
PHPORT,7,4,7,0,0
IDIROKO,2,0,1,0,0
PHIA,0,0,0,0,0
Total,4158,6487,3536,4106,2777
