STATE,2012,2012.1,2012.2,2013,2013.1,2013.2,2014,2014.1,2014.2,2015,2015.1,2015.2,2016,2016.1,2016.2
Unnamed: 0_level_1,MALE ,FEMALE,TOTAL,MALE ,FEMALE,TOTAL,MALE ,FEMALE,TOTAL,MALE ,FEMALE,TOTAL,MALE ,FEMALE,TOTAL
ABIA,210.0,20.0,230.0,163.0,19.0,182.0,209.0,15.0,224.0,207.0,12.0,219.0,178.0,21.0,199.0
ADAMAWA,163.0,5.0,168.0,184.0,2.0,186.0,126.0,4.0,130.0,197.0,2.0,199.0,212.0,3.0,215.0
AKWA IBOM,211.0,46.0,257.0,287.0,52.0,339.0,353.0,48.0,401.0,238.0,45.0,283.0,204.0,39.0,243.0
ANAMBRA,198.0,30.0,228.0,375.0,45.0,420.0,354.0,41.0,395.0,303.0,28.0,331.0,249.0,23.0,272.0
BAUCHI,213.0,0.0,213.0,221.0,0.0,221.0,471.0,0.0,471.0,372.0,10.0,382.0,311.0,10.0,321.0
BAYELSA,184.0,35.0,219.0,249.0,0.0,249.0,177.0,0.0,177.0,123.0,18.0,141.0,167.0,48.0,215.0
BENUE,174.0,31.0,205.0,107.0,9.0,116.0,116.0,10.0,126.0,182.0,18.0,200.0,125.0,10.0,135.0
BORNO,33.0,2.0,35.0,108.0,0.0,108.0,75.0,0.0,75.0,56.0,3.0,59.0,58.0,0.0,58.0
CROSS RIVER,167.0,19.0,186.0,93.0,6.0,99.0,28.0,4.0,32.0,163.0,20.0,183.0,76.0,12.0,88.0
DELTA,243.0,49.0,292.0,167.0,35.0,202.0,186.0,47.0,233.0,96.0,26.0,122.0,163.0,30.0,193.0
EBONYI,142.0,25.0,167.0,200.0,37.0,237.0,145.0,19.0,164.0,154.0,22.0,176.0,101.0,11.0,112.0
EDO,187.0,44.0,231.0,205.0,56.0,261.0,164.0,56.0,220.0,223.0,80.0,303.0,219.0,50.0,269.0
EKITI,349.0,34.0,383.0,282.0,28.0,310.0,183.0,7.0,190.0,183.0,22.0,205.0,81.0,11.0,92.0
ENUGU,129.0,22.0,151.0,160.0,13.0,173.0,151.0,20.0,171.0,144.0,19.0,163.0,104.0,8.0,112.0
GOMBE,110.0,1.0,111.0,108.0,7.0,115.0,166.0,1.0,167.0,86.0,0.0,86.0,87.0,3.0,90.0
IMO,158.0,26.0,184.0,125.0,13.0,138.0,176.0,0.0,176.0,110.0,21.0,131.0,90.0,7.0,97.0
JIGAWA,153.0,2.0,155.0,164.0,4.0,168.0,190.0,6.0,196.0,114.0,2.0,116.0,275.0,4.0,279.0
KADUNA,169.0,3.0,172.0,371.0,13.0,384.0,346.0,0.0,346.0,230.0,15.0,245.0,290.0,29.0,319.0
KANO,705.0,0.0,705.0,567.0,0.0,567.0,503.0,0.0,503.0,658.0,11.0,669.0,736.0,8.0,744.0
KATSINA,407.0,4.0,411.0,596.0,18.0,614.0,587.0,22.0,609.0,530.0,9.0,539.0,562.0,0.0,562.0
KEBBI,249.0,3.0,252.0,197.0,1.0,198.0,198.0,11.0,209.0,151.0,10.0,161.0,78.0,5.0,83.0
KOGI,112.0,0.0,112.0,209.0,16.0,225.0,155.0,17.0,172.0,129.0,9.0,138.0,221.0,8.0,229.0
KWARA,79.0,6.0,85.0,149.0,15.0,164.0,83.0,8.0,91.0,141.0,20.0,161.0,148.0,15.0,163.0
LAGOS,305.0,16.0,321.0,490.0,0.0,490.0,413.0,21.0,434.0,230.0,21.0,251.0,217.0,5.0,222.0
NASSARAWA,58.0,1.0,59.0,48.0,2.0,50.0,207.0,8.0,215.0,75.0,2.0,77.0,44.0,3.0,47.0
NIGER,114.0,0.0,114.0,143.0,0.0,143.0,68.0,0.0,68.0,262.0,2.0,264.0,227.0,3.0,230.0
OGUN,129.0,11.0,140.0,220.0,17.0,237.0,194.0,23.0,217.0,222.0,20.0,242.0,235.0,25.0,260.0
ONDO,108.0,11.0,119.0,86.0,6.0,92.0,54.0,4.0,58.0,139.0,12.0,151.0,136.0,15.0,151.0
OSUN,218.0,0.0,218.0,252.0,0.0,252.0,184.0,7.0,191.0,175.0,19.0,194.0,82.0,6.0,88.0
OYO,157.0,4.0,161.0,401.0,0.0,401.0,350.0,0.0,350.0,225.0,12.0,237.0,278.0,21.0,299.0
PLATEAU,369.0,15.0,384.0,302.0,16.0,318.0,283.0,14.0,297.0,323.0,20.0,343.0,386.0,18.0,404.0
RIVERS,256.0,25.0,281.0,190.0,23.0,213.0,200.0,32.0,232.0,230.0,31.0,261.0,255.0,36.0,291.0
SOKOTO,263.0,1.0,264.0,183.0,2.0,185.0,161.0,4.0,165.0,215.0,7.0,222.0,214.0,3.0,217.0
TARABA,43.0,0.0,43.0,78.0,0.0,78.0,77.0,0.0,77.0,249.0,11.0,260.0,239.0,6.0,245.0
YOBE,35.0,1.0,36.0,56.0,1.0,57.0,88.0,9.0,97.0,41.0,0.0,41.0,88.0,0.0,88.0
ZAMFARA,212.0,9.0,221.0,158.0,13.0,171.0,228.0,4.0,232.0,208.0,2.0,210.0,143.0,4.0,147.0
FCT,238.0,16.0,254.0,258.0,27.0,285.0,411.0,14.0,425.0,457.0,21.0,478.0,261.0,7.0,268.0
SIU(HQ LAGOS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,19.0,11.0,1.0,12.0
JTF(HQ LAGOS),29.0,0.0,29.0,11.0,1.0,12.0,21.0,2.0,23.0,7.0,1.0,8.0,13.0,0.0,13.0
DOGI(HQ LAGOS),29.0,0.0,29.0,20.0,1.0,21.0,24.0,0.0,24.0,31.0,3.0,34.0,24.0,3.0,27.0
AIRPORTS,,,,,,,,,,,,,,,
MMIA-LAGOS,94.0,14.0,108.0,82.0,11.0,93.0,118.0,11.0,129.0,145.0,22.0,167.0,61.0,15.0,76.0
NAIA-ABUJA,17.0,0.0,17.0,17.0,5.0,22.0,21.0,1.0,22.0,36.0,0.0,36.0,16.0,2.0,18.0
PHIA-PORT HARCOURT,0.0,3.0,3.0,0.0,1.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
MAKIA-KANO,5.0,0.0,5.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0
AIIA-ENUGU,0.0,0.0,0.0,5.0,0.0,5.0,6.0,0.0,6.0,17.0,1.0,18.0,9.0,1.0,10.0
SEAPORTS,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
WHARF-LAGOS,18.0,0.0,18.0,7.0,0.0,7.0,12.0,0.0,12.0,1.0,0.0,1.0,6.0,0.0,6.0
TINCAN-LAGOS,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,,,0.0
ONNE-RIVERS,10.0,1.0,11.0,7.0,0.0,7.0,15.0,1.0,16.0,6.0,0.0,6.0,4.0,0.0,4.0
BORDER POSTS,,,,,,,,,,,,,,,
SEME-LAGOS,54.0,4.0,58.0,17.0,4.0,21.0,27.0,1.0,28.0,35.0,3.0,38.0,31.0,8.0,39.0
IDIROKO-OGUN,129.0,11.0,140.0,4.0,0.0,4.0,3.0,0.0,3.0,5.0,0.0,5.0,0.0,0.0,0.0
CIATF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0
