"('State', '')","('mean', 'Admission into nigerian universities, Female')","('mean', 'Admission into nigerian universities, Male')","('mean', 'Adult Literacy in Any Language, Percent, Female')","('mean', 'Adult Literacy in Any Language, Percent, Male')","('mean', 'Application into nigerian universities, Female')","('mean', 'Application into nigerian universities, Male')","('mean', 'Household Size, Average, Total')","('mean', ""National teachers' institute student enrolment on distance leaning, Female"")","('mean', ""National teachers' institute student enrolment on distance leaning, Male"")","('mean', 'Percentage Distribution of Household Livelihood Based on Income, Fairly rich')","('mean', 'Percentage Distribution of Household Livelihood Based on Income, Moderate')","('mean', 'Percentage Distribution of Household Livelihood Based on Income, Poor')","('mean', 'Percentage Distribution of Household Livelihood Based on Income, Rich')","('mean', 'Percentage Distribution of Household Livelihood Based on Income, Very poor')","('mean', 'Percentage Distribution of Households that think Reduction of Poverty is Priority of Government, No')","('mean', 'Percentage Distribution of Households that think Reduction of Poverty is Priority of Government, Yes')","('mean', 'Percentage Distribution of Persons 15 Years and Above Who Attended a Literacy Course, No')","('mean', 'Percentage Distribution of Persons 15 Years and Above Who Attended a Literacy Course, Yes')","('mean', 'Percentage of Persons Who Can Read a Simple Letter in English Language 15 Years and Above, No')","('mean', 'Percentage of Persons Who Can Read a Simple Letter in English Language 15 Years and Above, Yes')","('mean', 'Percentage of Persons Who Can Read and Write in Hausa, Ibo or Yoruba, 15 Years and Above, Hausa')","('mean', 'Percentage of Persons Who Can Read and Write in Hausa, Ibo or Yoruba, 15 Years and Above, Ibo')","('mean', 'Percentage of Persons Who Can Read and Write in Hausa, Ibo or Yoruba, 15 Years and Above, Other')","('mean', 'Percentage of Persons Who Can Read and Write in Hausa, Ibo or Yoruba, 15 Years and Above, Yoruba')","('mean', 'Total employment in crop farming, 000, Female')","('mean', 'Total employment in crop farming, 000, Male')","('mean', 'Unemployment Rates by State')",Unnamed: 0,MPI data source,"Subnational 
region",MPI of the country,MPI of the region,Nutrition,Child mortality,Years of schooling,School attendance,"Cooking 
fuel",Sanitation,Drinking water,Electricity,Housing,Assets,Year of the survey,Population 2016,Population 2017,Population share by region,"Population size by 
region","Total number of indicators included 
(out of ten)"
Abia,1901.5,2041.0,67.76,82.38,23366.8,23374.0,3.9,867.5,80.75,4.9,30.3,47.2,1.8,15.8,27.7,72.3,98.8,1.2,23.4,76.6,0.9,87.2,11.5,0.4,1066.0,875.0,15.057142857142859,,,,,,,,,,,,,,,,,,,,,
Abuja,36.0,71.0,51.040000000000006,70.08,352.4,731.4,4.779999999999999,432.25,167.25,1.3,55.6,39.0,0.8,3.3,49.7,50.3,99.4,0.6,33.6,66.4,46.1,10.2,26.0,17.7,38.666666666666664,106.66666666666667,16.942857142857143,,,,,,,,,,,,,,,,,,,,,
Adamawa,436.75,837.5,45.260000000000005,62.94000000000001,2946.2,5374.8,5.4399999999999995,165.5,322.5,3.5,39.2,46.6,0.6,10.2,23.1,76.9,98.1,1.9,59.5,40.5,77.6,0.5,20.7,1.2,360.3333333333333,459.3333333333333,20.714285714285715,,,,,,,,,,,,,,,,,,,,,
Akwa Ibom,1865.5,2307.5,66.75999999999999,81.46000000000001,22367.4,24571.6,4.66,743.75,280.75,4.5,43.3,36.4,1.8,14.0,11.0,89.0,98.4,1.6,24.5,75.5,0.5,1.0,97.7,0.8,1671.6666666666667,1150.3333333333333,19.285714285714285,,,,,,,,,,,,,,,,,,,,,
Anambra,4066.25,3714.25,65.47999999999999,78.16,36397.0,30275.6,4.5,761.75,62.75,5.1,45.0,37.5,2.2,10.1,22.7,77.3,99.0,1.0,20.0,80.0,0.5,84.4,14.8,0.3,612.0,563.0,11.414285714285713,0.0,2016-2017,Anambra,0.2911579310894012,0.0378424264490604,13.04728388786316,3.994433209300041,2.8709637001156807,1.0853095911443231,50.63244104385376,43.35963428020477,21.875666081905365,26.72869563102722,9.34690609574318,11.01134717464447,190886.3125,185989.640625,190886.3125,0.0165062956511974,3150.825927734375,10.0
Bauchi,195.5,648.5,34.86,50.76,1340.2,4529.2,6.720000000000001,270.5,550.0,8.1,41.9,42.3,0.6,7.1,34.2,65.8,98.4,1.6,77.3,22.7,81.1,0.1,17.8,1.0,395.0,1359.6666666666667,24.32857142857143,1.0,2016-2017,Bauchi,0.2911579310894012,0.5030787587165833,64.68538641929626,19.390368461608887,53.14548015594482,57.88639187812805,97.95642495155334,62.27546334266663,48.96320104598999,71.5275526046753,73.88148307800293,26.18429958820343,190886.3125,185989.640625,190886.3125,0.0486571043729782,9287.9755859375,10.0
Bayelsa,918.0,1475.25,58.839999999999996,79.13999999999999,7075.2,10262.8,4.319999999999999,243.5,205.0,1.7,28.6,35.0,2.1,32.6,25.3,74.7,98.0,2.0,30.4,69.6,0.6,1.6,97.2,0.6,127.33333333333333,105.66666666666667,29.87142857142857,2.0,2016-2017,Bayelsa,0.2911579310894012,0.0992848426103591,15.444347262382507,9.342139214277267,2.6357579976320267,7.892009615898132,47.69187569618225,78.99032831192017,41.27679467201233,56.96880221366882,25.45185685157776,25.77870190143585,190886.3125,185989.640625,190886.3125,0.0070711309090256,1349.7821044921875,10.0
Benue,1077.25,2221.75,50.42,73.12,10420.0,19083.6,5.58,557.75,593.75,3.8,32.7,50.4,0.5,12.6,12.9,87.1,98.9,1.1,40.5,59.5,0.5,0.3,99.1,0.2,673.0,650.3333333333334,10.185714285714285,3.0,2016-2017,Benue,0.2911579310894012,0.1813275516033172,24.925722181797028,7.432896643877029,6.117934361100197,16.19376689195633,96.50620818138124,77.68107056617737,41.52142405509949,63.95312547683716,58.61809849739075,21.773861348629,190886.3125,185989.640625,190886.3125,0.0272709317505359,5205.6474609375,10.0
Borno,261.5,479.75,40.980000000000004,56.839999999999996,2127.0,3958.0,5.3,227.25,250.0,2.4,51.3,41.7,0.7,3.9,25.7,74.3,98.6,1.4,76.4,23.6,51.2,1.1,45.8,1.9,685.3333333333334,892.6666666666666,13.485714285714286,4.0,2016-2017,Borno,0.2911579310894012,0.3340404629707336,52.17052102088928,11.609645187854769,28.837290406227112,48.67633581161499,99.58016276359558,47.87259101867676,68.47432255744934,34.11449491977692,34.168899059295654,22.996540367603306,190886.3125,185989.640625,190886.3125,0.0617362782359123,11784.6103515625,10.0
Cross River,772.5,1148.25,56.98,75.24,8605.8,11836.6,4.459999999999999,583.5,350.5,3.7,26.0,52.7,0.7,17.0,19.8,80.2,98.5,1.5,32.8,67.2,0.7,3.6,93.5,2.2,278.6666666666667,393.6666666666667,19.071428571428566,5.0,2016-2017,Cross River,0.2911579310894012,0.1181962639093399,16.70881360769272,4.366082698106766,5.566482618451119,4.7102805227041245,78.41856479644775,74.61053133010864,56.36414885520935,63.22547197341919,32.49664306640625,22.951984405517575,190886.3125,185989.640625,190886.3125,0.017958540469408,3428.03955078125,10.0
