,1976,1980,1983,1988,1991,1992,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,State,mean__Admission_into_nigerian_universities__Female,mean__Admission_into_nigerian_universities__Male,mean__Adult_Literacy_in_Any_Language__Percent__Female,mean__Adult_Literacy_in_Any_Language__Percent__Male,mean__Application_into_nigerian_universities__Female,mean__Application_into_nigerian_universities__Male,mean__Household_Size__Average__Total,mean__National_teachers_institute_student_enrolment_on_distance_leaning__Female,mean__National_teachers_institute_student_enrolment_on_distance_leaning__Male,mean__Percentage_Distribution_of_Household_Livelihood_Based_on_Income__Fairly_rich,mean__Percentage_Distribution_of_Household_Livelihood_Based_on_Income__Moderate,mean__Percentage_Distribution_of_Household_Livelihood_Based_on_Income__Poor,mean__Percentage_Distribution_of_Household_Livelihood_Based_on_Income__Rich,mean__Percentage_Distribution_of_Household_Livelihood_Based_on_Income__Very_poor,mean__Percentage_Distribution_of_Households_that_think_Reduction_of_Poverty_is_Priority_of_Government__No,mean__Percentage_Distribution_of_Households_that_think_Reduction_of_Poverty_is_Priority_of_Government__Yes,mean__Percentage_Distribution_of_Persons_15_Years_and_Above_Who_Attended_a_Literacy_Course__No,mean__Percentage_Distribution_of_Persons_15_Years_and_Above_Who_Attended_a_Literacy_Course__Yes,mean__Percentage_of_Persons_Who_Can_Read_a_Simple_Letter_in_English_Language_15_Years_and_Above__No,mean__Percentage_of_Persons_Who_Can_Read_a_Simple_Letter_in_English_Language_15_Years_and_Above__Yes,mean__Percentage_of_Persons_Who_Can_Read_and_Write_in_Hausa__Ibo_or_Yoruba__15_Years_and_Above__Hausa,mean__Percentage_of_Persons_Who_Can_Read_and_Write_in_Hausa__Ibo_or_Yoruba__15_Years_and_Above__Ibo,mean__Percentage_of_Persons_Who_Can_Read_and_Write_in_Hausa__Ibo_or_Yoruba__15_Years_and_Above__Other,mean__Percentage_of_Persons_Who_Can_Read_and_Write_in_Hausa__Ibo_or_Yoruba__15_Years_and_Above__Yoruba,mean__Total_employment_in_crop_farming__000__Female,mean__Total_employment_in_crop_farming__000__Male,mean__Unemployment_Rates_by_State,Unnamed:_0,MPI_data_source,"Subnational_
region",MPI_of_the_country,MPI_of_the_region,Nutrition,Child_mortality,Years_of_schooling,School_attendance,"Cooking_
fuel",Sanitation,Drinking_water,Electricity,Housing,Assets,Year_of_the_survey,Population_2016,Population_2017,Population_share_by_region,"Population_size_by_
region","Total_number_of_indicators_included_
out_of_ten"
0,,,,,,,,,,,,,,,,,,,,,6.0,,22.0,,,,1.0,15.0,2.0,10.0,10.0,13.0,5.0,56.0,Abia,1901.5,2041.0,67.76,82.38,23366.8,23374.0,3.9,867.5,80.75,4.9,30.3,47.2,1.8,15.8,27.7,72.3,98.8,1.2,23.4,76.6,0.9,87.2,11.5,0.4,1066.0,875.0,15.05714286,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,3.0,,,,,,,,,,1.0,,,,,,12.0,15.0,15.0,8.0,19.0,14.0,38.0,26.0,1.0,,,,Abuja,36.0,71.0,51.04,70.08,352.4,731.4,4.78,432.25,167.25,1.3,55.6,39.0,0.8,3.3,49.7,50.3,99.4,0.6,33.6,66.4,46.1,10.2,26.0,17.7,38.66666667,106.6666667,16.94285714,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,2.0,,,7.0,96.0,32.0,368.0,254.0,123.0,306.0,272.0,225.0,101.0,15.0,Adamawa,436.75,837.5,45.26,62.94,2946.2,5374.8,5.44,165.5,322.5,3.5,39.2,46.6,0.6,10.2,23.1,76.9,98.1,1.9,59.5,40.5,77.6,0.5,20.7,1.2,360.3333333,459.3333333,20.71428571,,,,,,,,,,,,,,,,,,,,,
3,,,,,,2.0,,,,,,,,,,,,,8.0,16.0,14.0,18.0,27.0,6.0,6.0,6.0,8.0,14.0,15.0,8.0,19.0,26.0,6.0,105.0,Akwa Ibom,1865.5,2307.5,66.76,81.46,22367.4,24571.6,4.66,743.75,280.75,4.5,43.3,36.4,1.8,14.0,11.0,89.0,98.4,1.6,24.5,75.5,0.5,1.0,97.7,0.8,1671.666667,1150.333333,19.28571429,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,6.0,,,,,,,,,8.0,,6.0,,,,20.0,1.0,,6.0,44.0,9.0,2.0,36.0,2.0,113.0,Anambra,4066.25,3714.25,65.48,78.16,36397.0,30275.6,4.5,761.75,62.75,5.1,45.0,37.5,2.2,10.1,22.7,77.3,99.0,1.0,20.0,80.0,0.5,84.4,14.8,0.3,612.0,563.0,11.41428571,0.0,2016-2017,Anambra,0.2911579311,0.03784242645,13.04728389,3.994433209,2.8709637,1.085309591,50.63244104,43.35963428,21.87566608,26.72869563,9.346906096,11.01134717,190886.3125,185989.6406,190886.3125,0.01650629565,3150.825928,10.0
5,,,,,,,,,,,,,,,,,,9.0,,,,,9.0,21.0,79.0,19.0,103.0,63.0,,,38.0,6.0,7.0,7.0,Bauchi,195.5,648.5,34.86,50.76,1340.2,4529.2,6.72,270.5,550.0,8.1,41.9,42.3,0.6,7.1,34.2,65.8,98.4,1.6,77.3,22.7,81.1,0.1,17.8,1.0,395.0,1359.666667,24.32857143,1.0,2016-2017,Bauchi,0.2911579311,0.5030787587,64.68538642,19.39036846,53.14548016,57.88639188,97.95642495,62.27546334,48.96320105,71.5275526,73.88148308,26.18429959,190886.3125,185989.6406,190886.3125,0.04865710437,9287.975586,10.0
6,,,,,,,2.0,,,,,8.0,,3.0,,,,6.0,51.0,58.0,13.0,34.0,19.0,13.0,52.0,46.0,49.0,28.0,117.0,28.0,4.0,16.0,21.0,22.0,Bayelsa,918.0,1475.25,58.84,79.14,7075.2,10262.8,4.32,243.5,205.0,1.7,28.6,35.0,2.1,32.6,25.3,74.7,98.0,2.0,30.4,69.6,0.6,1.6,97.2,0.6,127.3333333,105.6666667,29.87142857,2.0,2016-2017,Bayelsa,0.2911579311,0.09928484261,15.44434726,9.342139214,2.635757998,7.892009616,47.6918757,78.99032831,41.27679467,56.96880221,25.45185685,25.7787019,190886.3125,185989.6406,190886.3125,0.007071130909,1349.782104,10.0
7,,,,,,,,,,,,,,,,,,,,,4.0,,,2.0,6.0,17.0,162.0,426.0,591.0,62.0,613.0,84.0,157.0,350.0,Benue,1077.25,2221.75,50.42,73.12,10420.0,19083.6,5.58,557.75,593.75,3.8,32.7,50.4,0.5,12.6,12.9,87.1,98.9,1.1,40.5,59.5,0.5,0.3,99.1,0.2,673.0,650.3333333,10.18571429,3.0,2016-2017,Benue,0.2911579311,0.1813275516,24.92572218,7.432896644,6.117934361,16.19376689,96.50620818,77.68107057,41.52142406,63.95312548,58.6180985,21.77386135,190886.3125,185989.6406,190886.3125,0.02727093175,5205.647461,10.0
8,,,,,,,,,,,,,,,,,8.0,,,,,84.0,30.0,229.0,741.0,476.0,1273.0,1571.0,801.0,1183.0,1015.0,1297.0,1084.0,505.0,Borno,261.5,479.75,40.98,56.84,2127.0,3958.0,5.3,227.25,250.0,2.4,51.3,41.7,0.7,3.9,25.7,74.3,98.6,1.4,76.4,23.6,51.2,1.1,45.8,1.9,685.3333333,892.6666667,13.48571429,4.0,2016-2017,Borno,0.2911579311,0.334040463,52.17052102,11.60964519,28.83729041,48.67633581,99.58016276,47.87259102,68.47432256,34.11449492,34.16889906,22.99654037,190886.3125,185989.6406,190886.3125,0.06173627824,11784.61035,10.0
9,,,,,,,2.0,,,,,,,,,,,,12.0,6.0,,,,,,14.0,,2.0,21.0,6.0,14.0,5.0,12.0,20.0,Cross River,772.5,1148.25,56.98,75.24,8605.8,11836.6,4.46,583.5,350.5,3.7,26.0,52.7,0.7,17.0,19.8,80.2,98.5,1.5,32.8,67.2,0.7,3.6,93.5,2.2,278.6666667,393.6666667,19.07142857,5.0,2016-2017,Cross River,0.2911579311,0.1181962639,16.70881361,4.366082698,5.566482618,4.710280523,78.4185648,74.61053133,56.36414886,63.22547197,32.49664307,22.95198441,190886.3125,185989.6406,190886.3125,0.01795854047,3428.039551,10.0
