STATE,2012,2013,2014,2015,2016
ABIA,21.0,6.0,13.0,42.0,46.0
ADAMAWA,73.0,127.0,98.0,84.0,120.0
AKWA IBOM,44.0,45.0,30.0,30.0,14.0
ANAMBRA,7.0,9.0,38.0,20.0,50.0
BAUCHI,33.0,23.0,96.0,95.0,46.0
BAYELSA,9.0,5.0,19.0,28.0,20.0
BENUE,73.0,11.0,68.0,44.0,43.0
BORNO,6.0,10.0,2.0,3.0,11.0
CROSS RIVER,50.0,21.0,24.0,54.0,22.0
DELTA,22.0,39.0,40.0,17.0,57.0
EBONYI,9.0,30.0,59.0,43.0,35.0
EDO,44.0,42.0,47.0,24.0,62.0
EKITI,68.0,29.0,19.0,24.0,62.0
ENUGU,28.0,26.0,18.0,13.0,53.0
GOMBE,58.0,37.0,47.0,58.0,95.0
IMO,14.0,22.0,24.0,18.0,5.0
JIGAWA,80.0,61.0,62.0,10.0,84.0
KADUNA,57.0,65.0,151.0,29.0,33.0
KANO,192.0,217.0,182.0,156.0,338.0
KATSINA,51.0,74.0,104.0,72.0,16.0
KEBBI,118.0,108.0,59.0,42.0,56.0
KOGI,13.0,34.0,16.0,12.0,20.0
KWARA,19.0,24.0,17.0,11.0,17.0
LAGOS,67.0,76.0,125.0,142.0,211.0
NASSARAWA,5.0,2.0,22.0,28.0,36.0
NIGER,43.0,46.0,24.0,45.0,22.0
OGUN,34.0,51.0,31.0,19.0,20.0
ONDO,30.0,29.0,31.0,35.0,44.0
OSUN,76.0,80.0,60.0,27.0,47.0
OYO,65.0,65.0,55.0,56.0,63.0
PLATEAU,115.0,122.0,90.0,82.0,96.0
RIVERS,13.0,60.0,76.0,51.0,61.0
SOKOTO,12.0,28.0,18.0,11.0,33.0
TARABA,26.0,16.0,39.0,31.0,53.0
YOBE,2.0,7.0,10.0,0.0,19.0
ZAMFARA,18.0,42.0,36.0,41.0,56.0
FCT,64.0,77.0,115.0,92.0,146.0
NHQ,16.0,9.0,11.0,6.0,2.0
AIRPORTS,,,,,
MMIA-LAGOS,14.0,64.0,27.0,15.0,18.0
NAIA-ABUJA,12.0,14.0,10.0,23.0,25.0
PHIA-PORT HARCOURT,1.0,0.0,5.0,0.0,0.0
MAKIA-KANO,6.0,1.0,4.0,0.0,14.0
AIIA-ENUGU,0.0,0.0,0.0,0.0,0.0
SEAPORTS,,,,,
WHARF-LAGOS,0.0,0.0,0.0,0.0,0.0
TINCAN-LAGOS,0.0,0.0,0.0,0.0,0.0
ONNE-RIVERS,1.0,0.0,17.0,4.0,5.0
BORDER POSTS,,,,,
SEME-LAGOS,29.0,10.0,15.0,21.0,11.0
IDIROKO-OGUN,0.0,1.0,0.0,2.0,0.0
Total,1738.0,1865.0,2054.0,1660.0,2287.0
