STATE,2012,2013,2014,2015,2016
ABIA,108,67,77,76,27
ADAMAWA,189,1989,106,20,54
AKWA IBOM,158,205,12,102,36
ANAMBRA,102,42,74,82,25
BAUCHI,156,86,67,40,3
BAYELSA,136,148,129,70,75
BENUE,75,20,37,12,33
BORNO,39,52,13,44,0
CROSS RIVER,43,34,30,82,78
DELTA,103,73,97,120,0
EBONYI,49,107,105,77,47
EDO,87,123,99,97,60
EKITI,130,135,109,120,136
ENUGU,62,77,18,94,5
GOMBE,5,8,73,40,5
IMO,108,8,63,95,0
JIGAWA,120,113,128,248,186
KADUNA,15,33,143,246,165
KANO,492,221,278,245,442
KATSINA,461,440,569,240,700
KEBBI,131,149,134,70,29
KOGI,52,170,86,52,55
KWARA,0,127,73,114,41
LAGOS,173,328,10,139,12
NASSARAWA,25,15,10,20,15
NIGER,69,242,0,129,119
OGUN,73,177,112,130,18
ONDO,40,42,8,100,18
OSUN,107,116,0,130,25
OYO,92,258,206,158,34
PLATEAU,284,189,10,68,11
RIVERS,110,104,30,0,101
SOKOTO,119,69,123,29,51
TARABA,33,39,46,46,9
YOBE,14,46,96,249,0
ZAMFARA,71,76,148,116,88
FCT,70,158,65,0,17
NHQ,26,14,11,110,54
IDIROKO,2,0,1,240,0
SEME,0,3,0,45,0
PHPORT,0,4,7,0,0
PHIA,0,0,0,0,0
Total,4129,6307,3403,4095,2774
