STATE,2012,2013,2014,2015,2016
ABIA,1112.41,451.24,408.06,633.8187,323.4352
ADAMAWA,2529.12,1932.5,261.05,5540.3856,6059.11
AKWA IBOM,372.902,402.31,148.65,1358.4505,393.5347
ANAMBRA,724.094,434.2,704.69,1720.8925,965.059
BAUCHI,1092.57,6270.7,1036.0,2014.705,3805.79
BAYELSA,130.795,221.97,247.5,1175.0011,209.5838
BENUE,1945.84,1549.1,1184.5,1393.5302,902.35
BORNO,37.555,6270.7,5805.0,250.3067,1010.44
CROSS RIVER,287.384,272.85,246.74,416.5529,399.56
DELTA,23418.48,8144.0,24052.05,12875.392,8834.12
EBONYI,243.464,520.92,1053.0,122.7972,184.7907
EDO,81541.71,48607.0,21179.0,322272.04,59381.68
EKITI,6685.23,8684.9,2979.4,5244.5922,736.66
ENUGU,1002.26,1335.5,1089.8,539.904,4050.46
GOMBE,239.03,164.03,429.12,174.1874,549.2767
IMO,526.371,1126.1,337.24,346.301,348.3341
JIGAWA,180.748,1444.0,116.92,858.7984,1325.89
KADUNA,1692.81,2437.6,6375.1,12989.96,17023.76
KANO,4107.89,4253.9,7522.2,11265.568,39557.41
KATSINA,1081.04,1511.5,782.93,4016.2947,2747.01
KEBBI,322.874,392.33,276.62,1706.5699,5310.489
KOGI,4071.29,6499.8,6821.4,2237.3755,7549.84
KWARA,763.627,1159.6,843.06,2815.2937,580.84
LAGOS,2451.23,9163.9,2057.0,2882.9443,16570.43
NASSARAWA,232.359,275.06,573.35,3185.6822,2465.78
NIGER,517.085,2157.5,1570.8,3722.212,3184.69
OGUN,8469.99,7457.7,2589.5,10137.45,3294.57
ONDO,61246.35,51093.0,18908.0,384773.45,37361.93
OSUN,6421.24,3572.7,5789.2,2167.9,1244.24
OYO,7232.08,14770.0,10253.0,9344.9714,2868.11
PLATEAU,1822.03,2186.5,1209.9,2259.6491,2006.09
RIVERS,919.952,397.42,385.92,795.72,899.4343
SOKOTO,788.344,1146.0,1469.7,1824.1935,191.7
TARABA,474.232,941.7,397.66,1069.4254,1710.3
YOBE,175.767,172.55,398.68,697.087,847.402
ZAMFARA,2177.64,1431.1,512.64,271.4991,439.3176
FCT,5094.3,13622.0,6440.2,10418.204,16689.36
DOGI(HQ LAGOS),142.291,904.0,28506.38,1523.7006,1812.65
JTF(HQ LAGOS),483.552,195.99,32.749,531.23,3453.55
MMIA-LAGOS,347.43,878.81,436.1,1125.017,729.458
NAIA-ABUJA,25.322,45.536,53.41,185.5919,178.1896
PHIA-PORT HARCOURT,2.958,1.142,4.373,0.0,0.0
MAKIA-KANO,6.54,3.0,4.373,96.14,11.3
AIIA-ENUGU,0.0,20.614,9.05,887.359,68.41
SEAPORTS,,,,,
WHARF-LAGOS,12.36,129901.0,0.0,0.4,166.003
TINCAN-LAGOS,23.58,1.44,0.8,3078.56,218.398
ONNE-RIVERS,2.535,7.796,0.771,0.2634,6.2545
BORDER POSTS,,,,,
SEME-LAGOS,420.243,426.0,137.72,1708.743,4235.07
IDIROKO-OGUN,100.845,126.3,11.2,53.0,32.0
Total,233699.74899999992,344985.5079999999,165652.506,834709.1101000004,262934.0602
