data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,actor1,assoc_actor_1,inter1,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
533240,566,NIG8502,8502,"13 December 2015",2015,1,"Violence against civilians","Fulani Ethnic Militia (Nigeria)",,4,47,"Western Africa",Nigeria,Plateau,"Jos South",,Zawan,9.75,8.8667,1,"Vanguard (Lagos)",Subnational,"At least 14 people were reportedly killed and several others injured in Kwata area of Zawan, Jos South Local Government Area of Plateau State, on the night of 13/12, following attack by suspected Fulani gunmen.",14,1518765568,NGA
533203,566,NIG8466,8466,"06 December 2015",2015,1,"Battle-No change of territory","Fulani Ethnic Militia (Nigeria)",,4,44,"Western Africa",Nigeria,Benue,Oju,,Oju,6.8454,8.4174,2,"This Day (Lagos)",Subnational,"A bloody clash between Fulani herdsmen and farmers in Oju Local Government Area of Benue State has led to the death of six persons on 06/12.",6,1518765568,NGA
533199,566,NIG8461,8461,"05 December 2015",2015,1,"Violence against civilians","Fulani Ethnic Militia (Nigeria)",,4,47,"Western Africa",Nigeria,Delta,"Ndokwa West",,Onicha,5.8288,6.3929,1,"The Sun (Nigeria)",National,"Fulanis kidnap three contractors in Onicha on 05/12, reasons not known.",0,1518765568,NGA
1459605,566,NIG8440,8440,"01 December 2015",2015,1,"Violence against civilians","Fulani Ethnic Militia (Nigeria)",,4,47,"Western Africa",Nigeria,Gombe,Billiri,,Polapindi,9.8667,11.1667,1,"Leadership (Abuja)",Subnational,"Fulani herdsmen attack Polalido-Kandilan in Billiri local government area of Gombe State in which one person was killed, four injured and 40 houses burnt down.",1,1524053912,NGA
1252426,566,NIG8436,8436,"01 December 2015",2015,1,"Battle-No change of territory","Fulani Ethnic Militia (Nigeria)",,4,44,"Western Africa",Nigeria,Delta,"Isoko North",,Ofagbe,5.5493,6.3427,1,"The Nation (Nigeria)",National,"Fulanis clash with members of the Ofagbe community, one dead. The reason for the clash is not known.",1,1523534006,NGA
533123,566,NIG8386,8386,"18 November 2015",2015,1,"Battle-No change of territory","Fulani Ethnic Militia (Nigeria)",,4,44,"Western Africa",Nigeria,Edo,"Owan East",,Afuze,6.9675,6.0432,2,"The Nation (Nigeria)",National,"A local vigilante group clashes with Fulanis in an area between Ivbiaro and Ihevbie villages in Owan East LGA on 18/11. One death reported.",1,1518765568,NGA
533092,566,NIG8356,8356,"09 November 2015",2015,1,"Violence against civilians","Fulani Ethnic Militia (Nigeria)",,4,47,"Western Africa",Nigeria,Kogi,Dekina,,Dekina,7.6897,7.0438,2,"The Guardian (Nigeria)",Subnational,"No fewer than 22 persons, including women and children were feared killed when suspected Fulani herdsmen in the early hours of Monday, attacked nine communities in Dekina Local Council of Kogi State. The affected communities are: Agojeju, Ikpoba, Ojeh, Ajomojayi, Ajadaji, Idochi, Ojiyanawo, Ulaja and Oganenigu.",11,1518765568,NGA
533090,566,NIG8355,8355,"09 November 2015",2015,1,"Violence against civilians","Fulani Ethnic Militia (Nigeria)",,4,47,"Western Africa",Nigeria,Kogi,Dekina,,Agojeju,7.7235,7.3838,1,"The Guardian (Nigeria)",Subnational,"No fewer than 22 persons, including women and children were feared killed when suspected Fulani herdsmen in the early hours of Monday, attacked nine communities in Dekina Local Council of Kogi State. The affected communities are: Agojeju, Ikpoba, Ojeh, Ajomojayi, Ajadaji, Idochi, Ojiyanawo, Ulaja and Oganenigu.",11,1518765568,NGA
533027,566,NIG8289,8289,"21 October 2015",2015,1,"Violence against civilians","Fulani Ethnic Militia (Nigeria)",,4,47,"Western Africa",Nigeria,Taraba,Wukari,,Wukari,7.85,9.7833,2,"Leadership (Abuja)",Subnational,"Fulani gunmen attack KatanKa Village in Wukari Local Government, eight dead.",8,1518765568,NGA
1461620,566,NIG8278,8278,"20 October 2015",2015,1,"Violence against civilians","Fulani Ethnic Militia (Nigeria)",,4,47,"Western Africa",Nigeria,Plateau,"Barkin Ladi",,"Barkin Ladi",9.5333,8.9,2,"Daily Independent (Nigeria)",National,"Suspected Fulanis attack a Berom village on 20/10, two killed, four missing.",2,1524053914,NGA
