,MPI data source,"Subnational 
region",MPI of the country,MPI of the region,Nutrition,Child mortality,Years of schooling,School attendance,"Cooking 
fuel",Sanitation,Drinking water,Electricity,Housing,Assets,Year of the survey,Population 2016,Population 2017,Population share by region,"Population size by 
region","Total number of indicators included 
(out of ten)"
0,2016-2017,Anambra,0.29115793108940125,0.03784242644906044,13.04728388786316,3.994433209300041,2.8709637001156807,1.0853095911443233,50.63244104385376,43.35963428020477,21.875666081905365,26.72869563102722,9.34690609574318,11.01134717464447,190886.3125,185989.640625,190886.3125,0.016506295651197433,3150.825927734375,10.0
1,2016-2017,Bauchi,0.29115793108940125,0.5030787587165833,64.68538641929626,19.390368461608887,53.145480155944824,57.88639187812805,97.95642495155334,62.275463342666626,48.96320104598999,71.5275526046753,73.88148307800293,26.18429958820343,190886.3125,185989.640625,190886.3125,0.04865710437297821,9287.9755859375,10.0
2,2016-2017,Bayelsa,0.29115793108940125,0.09928484261035919,15.444347262382507,9.342139214277267,2.6357579976320267,7.892009615898132,47.69187569618225,78.99032831192017,41.27679467201233,56.96880221366882,25.45185685157776,25.778701901435852,190886.3125,185989.640625,190886.3125,0.007071130909025669,1349.7821044921875,10.0
3,2016-2017,Benue,0.29115793108940125,0.18132755160331726,24.925722181797028,7.432896643877029,6.117934361100197,16.19376689195633,96.50620818138123,77.68107056617737,41.52142405509949,63.95312547683716,58.61809849739075,21.773861348628998,190886.3125,185989.640625,190886.3125,0.027270931750535965,5205.6474609375,10.0
4,2016-2017,Borno,0.29115793108940125,0.33404046297073364,52.17052102088928,11.609645187854767,28.837290406227112,48.67633581161499,99.58016276359558,47.87259101867676,68.47432255744934,34.11449491977692,34.168899059295654,22.996540367603302,190886.3125,185989.640625,190886.3125,0.06173627823591232,11784.6103515625,10.0
5,2016-2017,Cross River,0.29115793108940125,0.1181962639093399,16.70881360769272,4.366082698106766,5.5664826184511185,4.7102805227041245,78.41856479644775,74.61053133010864,56.36414885520935,63.22547197341919,32.49664306640625,22.951984405517578,190886.3125,185989.640625,190886.3125,0.017958540469408035,3428.03955078125,10.0
6,2016-2017,Delta,0.29115793108940125,0.05111893638968468,15.509794652462006,4.770149663090706,4.254615306854248,1.603991910815239,53.789663314819336,61.916619539260864,21.90144509077072,27.636519074440002,14.718985557556152,13.768652081489563,190886.3125,185989.640625,190886.3125,0.01622779853641987,3097.66455078125,10.0
7,2016-2017,Ebonyi,0.29115793108940125,0.16900195181369781,22.160977125167847,4.058944061398506,11.219921708106995,9.446931630373001,92.05838441848755,87.7849280834198,45.08207440376282,70.04756331443787,51.14530920982361,31.681588292121887,190886.3125,185989.640625,190886.3125,0.012499629519879818,2386.00830078125,10.0
8,2016-2017,Edo,0.29115793108940125,0.020081985741853714,10.868807882070541,0.8777967654168606,3.4747470170259476,2.056020312011242,38.108038902282715,48.46425950527191,15.781717002391815,11.492335796356201,8.558518439531326,9.339141845703125,190886.3125,185989.640625,190886.3125,0.013081642799079418,2497.1064453125,10.0
9,2016-2017,Ekiti,0.29115793108940125,0.05345376953482628,13.785919547080994,4.745320603251457,6.968496739864349,2.695482037961483,58.90304446220398,74.38258528709412,26.791024208068848,26.091313362121582,9.90251749753952,12.516896426677704,190886.3125,185989.640625,190886.3125,0.006153268739581108,1174.5748291015625,10.0
10,2016-2017,Enugu,0.29115793108940125,0.03826875239610672,7.070489972829819,2.3505594581365585,5.8289214968681335,1.4019152149558067,71.86136841773987,68.00408363342285,48.07449281215668,28.173568844795227,11.042433977127075,14.547669887542725,190886.3125,185989.640625,190886.3125,0.013278711587190628,2534.724365234375,10.0
11,2016-2017,FCT,0.29115793108940125,0.11438886821269989,23.251105844974518,7.53827840089798,5.888907611370087,13.811245560646057,61.46308183670044,59.86815094947815,24.264205992221832,25.790661573410034,24.261653423309326,15.925484895706177,190886.3125,185989.640625,190886.3125,0.008129529654979706,1551.81591796875,10.0
12,2016-2017,Gombe,0.29115793108940125,0.4557758569717407,55.079662799835205,16.7422816157341,42.11540222167969,55.13007640838623,95.85381150245667,56.97092413902283,66.32415056228638,56.954723596572876,78.3288300037384,31.420019268989563,190886.3125,185989.640625,190886.3125,0.018073122948408127,3449.911865234375,10.0
13,2016-2017,Imo,0.29115793108940125,0.03542274609208107,16.47723615169525,6.779006123542786,3.29010933637619,0.8061918430030346,73.57236742973328,41.88608527183533,23.02892506122589,24.77383315563202,5.720648914575577,7.379048317670822,190886.3125,185989.640625,190886.3125,0.01813015341758728,3460.798095703125,10.0
14,2016-2017,Jigawa,0.29115793108940125,0.5308761596679688,67.74685978889465,25.06251633167267,55.388712882995605,60.96576452255249,98.71048927307129,67.18618869781494,30.58100938796997,73.35992455482483,82.98474550247192,34.76766049861908,190886.3125,185989.640625,190886.3125,0.04419095069169998,8435.447265625,10.0
15,2016-2017,Kaduna,0.29115793108940125,0.29272934794425964,49.85261559486389,8.49292054772377,26.373255252838135,29.88693118095398,87.20204830169678,70.49760818481445,40.24682939052582,37.142202258110046,52.21331715583801,11.77167147397995,190886.3125,185989.640625,190886.3125,0.0578472726047039,11042.2529296875,10.0
16,2016-2017,Kano,0.29115793108940125,0.39971381425857544,62.521183490753174,27.265435457229614,32.17321038246155,45.33727169036865,89.74871635437012,45.01400291919708,47.38641679286957,52.197861671447754,56.08212947845459,23.12747985124588,190886.3125,185989.640625,190886.3125,0.07515741884708405,14346.5224609375,10.0
17,2016-2017,Katsina,0.29115793108940125,0.4615422189235687,67.17129945755005,18.7778040766716,41.84446036815643,46.32941782474518,95.48417329788208,72.25455045700073,49.995461106300354,68.1023359298706,71.14693522453308,27.12399959564209,190886.3125,185989.640625,190886.3125,0.06058065593242645,11564.017578125,10.0
18,2016-2017,Kebbi,0.29115793108940125,0.491155743598938,60.05271077156067,21.31311744451523,49.37812685966492,60.54655313491821,93.95166635513306,69.38945651054382,47.11064398288727,56.85464143753052,75.53515434265137,32.61823058128357,190886.3125,185989.640625,190886.3125,0.029906416311860085,5708.7255859375,10.0
19,2016-2017,Kogi,0.29115793108940125,0.1350235939025879,24.69232976436615,4.8095885664224625,6.664781272411346,9.512925893068314,82.51211643218994,78.46921682357788,41.778141260147095,51.85519456863403,34.61344540119171,16.432251036167145,190886.3125,185989.640625,190886.3125,0.01741371862590313,3324.04052734375,10.0
20,2016-2017,Kwara,0.29115793108940125,0.14395074546337128,24.719364941120148,2.793436124920845,23.64053577184677,12.368319183588028,76.06877088546753,77.88345217704773,21.170830726623535,27.795016765594482,22.010882198810577,23.00100028514862,190886.3125,185989.640625,190886.3125,0.014703634195029736,2806.722412109375,10.0
21,2016-2017,Lagos,0.29115793108940125,0.009809944778680801,13.018785417079926,3.6480676382780075,1.6825953498482704,1.9372079521417618,3.345613554120064,56.043654680252075,4.4945016503334045,0.8463356643915176,2.952517196536064,6.537768989801407,190886.3125,185989.640625,190886.3125,0.041802871972322464,7979.59619140625,10.0
22,2016-2017,Nasarawa,0.29115793108940125,0.2723976671695709,40.79040586948395,12.661652266979218,14.625921845436096,29.9789696931839,96.19953632354736,73.2800304889679,49.82551336288452,69.39166188240051,47.17806875705719,18.83409470319748,190886.3125,185989.640625,190886.3125,0.02101450227200985,4011.380859375,10.0
23,2016-2017,Niger,0.29115793108940125,0.36154916882514954,44.59543824195862,17.914918065071106,35.96985340118408,48.34130108356476,93.99970769882202,66.98066592216492,50.15662908554077,45.84849178791046,48.82116615772247,15.214742720127106,190886.3125,185989.640625,190886.3125,0.04379691556096077,8360.2314453125,10.0
24,2016-2017,Ogun,0.29115793108940125,0.057356320321559906,19.86689269542694,3.716392442584038,7.470375299453735,3.8761544972658157,29.168125987052917,68.77717971801758,14.72545713186264,21.519193053245544,17.132140696048737,11.983869969844818,190886.3125,185989.640625,190886.3125,0.012691185809671879,2422.57373046875,10.0
25,2016-2017,Ondo,0.29115793108940125,0.08469519019126892,16.316787898540497,4.2979564517736435,8.279585093259811,2.950480207800865,59.3661904335022,78.0213475227356,28.253456950187683,40.72911739349365,22.81918376684189,19.463638961315155,190886.3125,185989.640625,190886.3125,0.019363708794116974,3696.26708984375,10.0
26,2016-2017,Osun,0.29115793108940125,0.04506344348192215,17.179811000823975,5.492744594812393,6.600631028413773,3.9810724556446075,49.9495267868042,74.84921216964722,18.40757131576538,21.520504355430603,12.1009461581707,10.4782335460186,190886.3125,185989.640625,190886.3125,0.017585719004273415,3356.873046875,10.0
27,2016-2017,Oyo,0.29115793108940125,0.1084839329123497,20.45985758304596,4.877518862485886,12.058673053979874,10.354626178741455,44.18964385986328,77.89170742034912,25.615447759628296,31.05866312980652,21.32013589143753,14.388376474380493,190886.3125,185989.640625,190886.3125,0.029843837022781372,5696.77978515625,10.0
28,2016-2017,Plateau,0.29115793108940125,0.27887800335884094,46.07119560241699,10.352705419063568,13.605092465877533,22.376511991024017,84.53933000564575,72.92360663414001,56.56216740608215,63.85478973388672,54.607826471328735,21.470151841640472,190886.3125,185989.640625,190886.3125,0.03653798997402191,6974.60205078125,10.0
29,2016-2017,Rivers,0.29115793108940125,0.028928479179739952,8.627337962388992,3.5538282245397568,1.7867084592580795,3.975503519177437,43.28721463680267,61.351215839385986,20.62498778104782,17.24127233028412,11.0213004052639,9.039734303951263,190886.3125,185989.640625,190886.3125,0.02077924832701683,3966.47412109375,10.0
30,2016-2017,Sokoto,0.29115793108940125,0.5360352993011475,66.57720804214478,15.687945485115051,53.01993489265442,65.62826633453369,97.85524010658264,59.36932563781738,70.47602534294128,61.0021710395813,79.56252098083496,39.646148681640625,190886.3125,185989.640625,190886.3125,0.028548354282975197,5449.490234375,10.0
31,2016-2017,Taraba,0.29115793108940125,0.3349073827266693,38.4539932012558,9.53228622674942,21.949857473373413,35.06714701652527,95.72047591209412,68.2267963886261,66.05292558670044,79.30859923362732,66.95014834403992,37.74192929267883,190886.3125,185989.640625,190886.3125,0.0157452579587698,3005.55419921875,10.0
32,2016-2017,Yobe,0.29115793108940125,0.48756593465805054,57.42167830467224,13.986194133758545,51.15259289741516,60.38671135902405,97.79373407363892,76.13000273704529,41.93238019943237,65.68313241004944,77.44327783584595,30.418741703033447,190886.3125,185989.640625,190886.3125,0.03093108907341957,5904.32177734375,10.0
33,2016-2017,Zamfara,0.29115793108940125,0.5180830359458923,63.07787299156189,30.013665556907654,45.06407678127289,63.94873857498169,95.22351026535034,58.765506744384766,55.248332023620605,70.27255892753601,72.81091213226318,28.318920731544495,190886.3125,185989.640625,190886.3125,0.041425034403800964,7907.47216796875,10.0
